Table: Components of Risk-Weighted Assets - Basel III Advanced at March 31 2024
"March 31, 2024 (in millions)",Basel III Advanced CECL Transitional RWA
"Credit risk (a)",1176947
Market risk,74519
Operational risk,429851
Total RWA,1681317
