Table: Securitization RWA - Re-securitization and Total
"March 31, 2024 (in millions)",SFA Exposure,SFA RWA,SSFA Exposure,SSFA RWA,1250% Exposure,1250% RWA,Total Exposure,Total RWA
Re-securitization:,,,,,,,,
"Risk weight = 0% < 20%",56,12,3014,639,0,0,3070,651
"Risk weight > 20% <= 50%",0,0,165,36,0,0,165,36
"Risk weight > 50% <= 100%",0,0,0,0,0,0,0,0
"Risk weight > 100% < 1250%",0,0,1,7,0,0,1,7
"Risk weight = 1250%",0,0,0,2,0,0,0,2
"Re-securitization (a)",56,12,3180,684,0,0,3236,696
,,,,,,,,
"Total securitization (b)",117045,25130,142526,32899,296,3915,259867,61944
