Table: Securitization Exposure by Collateral Type
"March 31, 2024 (in millions)",On-balance sheet,Off-balance sheet (a),Total,RWA
Collateral type:,,,,
Residential mortgages,34180,1422,35602,8164
Commercial mortgages,37194,851,38045,10225
Commercial and industrial loans,105556,22941,128497,27303
Consumer auto loans,18175,8198,26373,5788
Student loans,9909,908,10817,2357
Municipal bonds,29,4454,4483,1208
Other,11883,4167,16050,6899
Total securitization exposure,216926,42941,259867,61944
