Table: Wholesale Risk-Weighted Assets by Basel Reporting Classification
"March 31, 2024 (in millions)",Basel III Advanced RWA
Corporate,405977
Bank,10488
Sovereign,26222
Income-producing real estate,61609
High volatility commercial real estate,91
Total wholesale credit RWA,504387
