Table: Other Off-Balance Sheet Exposures
"(in millions)","March 31, 2024"
Off-balance sheet exposures - gross notional amounts,1589141
Less: Adjustments for conversion to credit equivalent amounts,1184215
Adjustment for other off-balance sheet exposures,404926
