Table: Counterparty Credit Risk-Weighted Assets by Transaction Type
"March 31, 2024 (in millions)",Basel III Advanced RWA
OTC derivatives,50614
Repo-style transactions,37322
Eligible margin loans,29761
Cleared transactions,9433
Total counterparty credit RWA,127130
