Table: Summary of Credit Risk RWA - Basel III Advanced CECL Transitional RWA
"March 31, 2024 (in millions)",Basel III Advanced CECL Transitional RWA
Retail exposures,201641
Wholesale exposures,504387
Counterparty exposures,127130
"Securitization exposures (a)",59667
Equity exposures,64292
"Other exposures (b)(c)",178978
CVA,42541
"Less: Excess eligible credit reserves not included in Tier 2 capital",1689
Total credit risk RWA,1176947
