Table: Repo-Style Transactions - Components of Total Exposures
"(in millions)","March 31, 2024"
"Gross assets for repo-style transactions (a)",802978
"Less: amounts netted (b)",288065
Add: Counterparty credit risk for all repo-style transactions,43993
"Exposure amount for repo-style transactions where the Firm acts as an agent (c)",150
Total exposures for repo-style exposures,559056
Less: on-balance sheet amounts - Securities purchased under resale agreements,324203
Less: on-balance sheet amounts - Securities borrowed,192545
Adjustment for repo-style transactions,42308
