Table: Total Loss-Absorbing Capacity (TLAC)
"March 31, 2024 (in billions, except ratio)",External TLAC,LTD
Total eligible amount,520.4,226.8
% of RWA,30.4%,13.2%
Regulatory requirements,23.0%,10.5%
Surplus/(shortfall),126.6,47.1
% of total leverage exposure,11.2%,4.9%
Regulatory requirements,9.5%,4.5%
Surplus/(shortfall),80.1,18.3
