Table 12: On- and Off-Balance Sheet Securitization Exposures,March 31 2025,,,,,,,
(in millions),Traditional - On-Balance Sheet EAD,Traditional - Off-Balance Sheet EAD,Traditional - Total EAD,Traditional - Advanced Approach RWAs,Synthetic - On-Balance Sheet EAD,Synthetic - Total EAD,Synthetic - Advanced Approach RWAs
Commercial mortgages,18397,1315,19712,4476,—,—,—
Residential mortgages,8281,1207,9488,2828,—,—,—
Corporate,48340,16312,64652,13653,—,—,—
Auto loans / leases,15235,8888,24123,5861,—,—,—
Other,16152,9574,25726,5682,8000,8000,1484
Total Securitization Exposures,106405,37296,143701,32500,8000,8000,1484
