Table 10: Counterparty Collateral Types,March 31 2025,
(in millions),Derivatives Collateral,Repo & Margin Loan Collateral
Cash,15415,245747
Treasuries,14355,144727
Agencies,778,37612
Corporate Bonds,4362,5686
Main Index Equities,5573,69607
Other Public Equities,2087,59848
Mutual Funds,580,14723
Other,2934,24165
Total Collateral,46084,602115
