Table 8: Expected Credit Loss,,,,Quarter ended,
(in millions),Mar 31 2025,Dec 31 2024,Sep 30 2024,Jun 30 2024,Mar 31 2024
Commercial loans:,,,,,,
Commercial and industrial,1734,1678,1689,1651,1609
Commercial real estate,1548,1594,1780,1736,1687
Lease financing,136,132,134,124,107
Total Commercial ECL,3418,3404,3603,3511,3403
Consumer loans:,,,,,,
Residential mortgage,342,345,454,459,467
Credit card,3429,3392,3402,3272,3188
Auto,439,467,539,645,640
Other consumer,319,284,287,312,313
Total Consumer ECL,4529,4488,4682,4688,4608
Total Loan ECL,7947,7892,8285,8199,8011
Non-loan ECL,194,195,182,184,173
Total ECL,8141,8087,8467,8383,8184
