Table 4: Risk-Weighted Assets by Risk Type - Advanced Approach,March 31 2025
(in millions),Advanced Approach RWAs
Credit Risk-Weighted Assets,
Wholesale exposures:,
Corporate,297570
Bank,3168
Sovereign,5096
Income Producing Real Estate,95771
High Volatility Commercial Real Estate,1179
Total Wholesale exposures,402784
Retail exposures:,
Residential mortgage - first lien,23340
Residential mortgage - junior lien,337
Residential mortgage - revolving,6324
Qualifying revolving,56839
Other retail,44662
Total Retail exposures,131502
Counterparty exposures:,
OTC derivatives,23617
Margin loans and repo style transactions,10802
Cleared transactions,1593
Unsettled trades,48
Total Counterparty exposures,36060
Credit Valuation Adjustments (CVA),17780
Securitization exposures,33984
Equity exposures,50832
Other exposures,56271
Non-material portfolios of exposures,3858
Less: Excess eligible credit reserves not included in Tier 2 capital,2170
Total Credit Risk-Weighted Assets,730901
Market risk,68246
Operational risk,264463
Total Risk-Weighted Assets,1063610
