Table 9a: Counterparty Credit Risk Exposures,March 31 2025,
(in millions),Over the Counter,Centrally Cleared & Exchange Traded
Derivatives:,,
Gross positive fair value,69728,7924
Counterparty netting benefit,-44945,-5985
Net current credit exposure,24783,1939
Collateral benefit,-8857,—
Net unsecured credit exposure,15926,1939
Securities financing transactions:,,
Gross notional exposure,396046,131469
Netting and collateral benefit,-388620,-131070
Net unsecured credit exposure,7426,399
