Table 25b: Components of Total Leverage Exposure,March 31 2025
(in millions),
On-balance sheet exposures,
"On-balance sheet assets (excl. derivatives and repo-style, incl. collateral)",1799514
Less: amounts deducted from Tier 1 capital,27750
Total adjusted on-balance sheet exposures,1771764
Derivative exposures,
"Replacement cost for derivative exposures (net of cash variation margin)",27429
Add-on amounts for PFE for derivative exposures,48355
"Gross-up for cash collateral posted if deducted from on-balance sheet assets",27229
"Less: Deductions of receivable assets for cash variation margin posted",27229
Less: Exempted CCP leg of client-cleared transactions,—
Effective notional principal amount of sold credit protection,12885
Less: Effective notional principal amount offsets and PFE adjustments for sold credit protection,5938
Total derivative exposures,82731
Repo-style transactions,
"On-balance sheet assets for repo-style transactions",148870
"Less: Reduction of gross value of receivables in reverse repo by cash payables in repo under netting",48162
Counterparty credit risk for all repo-style transactions,6949
Exposure amount for repo-style transactions where bank acts as agent,365
Total repo-style transactions,108022
Other off-balance sheet exposures,
Off-balance sheet exposures at gross notional amounts,717684
Less: Adjustments for conversion to credit equivalent amounts,413044
Total Other off-balance sheet exposures,304640
Total leverage exposure,2267157
