Table 25a: Supplementary Leverage Ratio,March 31 2025
(in millions except ratio),
Tier 1 capital (A),153855
Total consolidated assets,1950311
Adjustment for derivative exposures,62938
Adjustment for repo-style transactions,7314
Adjustment for other off-balance sheet exposures,304640
Less: Other adjustments,58046
Total leverage exposure (B),2267157
Supplementary leverage ratio (A)/(B) (%),6.79
