Table 11: Counterparty Credit Risk Exposures by Risk Weight and Category,March 31 2025,,,,
(in millions except ratios),Exposure at Default,Advanced Approach RWAs,PD (%),LGD,Risk Weight
OTC Derivatives Eligible Margin Loans and Repo-Style Transactions,,,,,,
0.00 to < 0.10,53069,11064,0.06,44.55,20.85
0.10 to < 0.25,25085,10119,0.17,44.17,40.34
0.25 to < 1.35,16627,11514,0.65,41.13,69.25
1.35 to < 5.50,1631,1325,2.79,26.75,81.24
5.50 to < 10.00,—,—,—,—,—
10.00 to < 100.00,101,187,12.34,38.95,185.15
100 (default),—,—,—,—,—
Default Fund Contribution,8633,1216,—,—,14.09
Margin Loans with 300% RW,66,210,—,—,318.18
Cleared Transactions,17557,377,—,—,2.15
Unsettled Trades,21,48,—,—,228.57
Total Counterparty Credit Risk Exposures,122790,36060,0.25,43.55,29.37
