Table 15: Equity Capital Instruments,March 31 2025,,
(in millions),Carrying Value,Fair Value,Unrealized Gains (Losses)
Publicly Traded,2723,2723,—
Non-Publicly Traded,47019,48953,1934
Total Equity Capital Instruments,49742,51676,1934
