Table 2: Regulatory Capital Information - Advanced Approach,March 31 2025,,,,,,
(in millions except ratios),CET1 Capital,Tier 1 Capital,Total Capital,Advanced Approach RWAs,CET1 Capital Ratio (%),Tier 1 Capital Ratio (%),Total Capital Ratio (%)
Wells Fargo & Company,135577,153855,175359,1063610,12.75,14.47,16.49
"Wells Fargo Bank, N.A.",147334,147334,159732,901328,16.35,16.35,17.72
"Wells Fargo Bank South Central, N.A.",822,822,823,453,181.25,181.25,181.53
Wells Fargo National Bank West,1539,1539,1542,1000,153.79,153.79,154.15
