Pillar 3 Requirement,Pillar 3 Report Page,Pillar 3 Requirement Description,First Quarter 2025 Form 10-Q Reference,2024 Form 10-K Reference
"Scope of Application / Capital Structure & Capital Adequacy",6-11,Overview,"Capital Management, Total Loss Absorbing Capacity, Note 1, and Note 22","Risk Management, Capital Management, Total Loss Absorbing Capacity, Note 1, and Note 26"
"Scope of Application / Capital Structure & Capital Adequacy",12-13,Capital Management and Structure,"Capital Management, Capital Planning and Stress Testing, Regulation and Supervision, Note 1, and Note 9","Risk Management, Capital Management, Capital Planning and Stress Testing, Regulation and Supervision, Note 1, Note 11, Note 12, and Note 26"
"Scope of Application / Capital Structure & Capital Adequacy",14-15,Measurement of Capital/RWA,Capital Management and Table 30,Capital Management and Table 36
"Credit Risk: General Disclosures",16-24,Credit Risk Management Overview,"Credit Risk Management, Asset/Liability Management, and Note 1","Credit Risk Management, Model Risk Management, Asset/Liability Management, and Note 1"
"Credit Risk: General Disclosures",17,"Exposure Types/Impaired Loans and Adjusted Allowance for Credit Losses","Note 3, Note 5, Note 11, Table 17, Table 18, Table 19, and Table 20","Note 3, Note 5, Note 14, Table 23, Table 24, Table 25, and Table 26"
"Credit Risk: General Disclosures",17,Industry and Geographic Distribution,"Note 3, Note 11, Table 1, Table 12, Table 13, Table 14, Table 15, and Table 18","Note 3, Note 5, Note 14, Table 3, Table 12, Table 18, Table 19, Table 20, Table 21, and Table 24"
"Credit Risk: Internal Ratings-Based",16-24,Credit Risk Management,"Credit Risk Management, Asset/Liability Management, and Note 1","Credit Risk Management, Model Risk Management, Asset/Liability Management, and Note 1"
"Credit Risk: Internal Ratings-Based",16-24,Credit Quality Overview,Table 19,Table 25
"Counterparty Credit Risk",24-25,Overview,Note 11,Note 14
"Counterparty Credit Risk",26-27,Counterparty Credit Risk Management/Collateral,Note 11,Note 14
"Credit Risk Mitigation","19 & 26-27",Guarantees and Credit Derivatives,Note 14 and Note 15,"Off-Balance Sheet Arrangements, Note 17, Note 18, and Note 19"
Securitization,28-30,Objectives and Roles,Note 1 and Note 13,Note 1 and Note 16
Securitization,28-32,Risk Management and Methodology,,
Securitization,30-32,"Accounting, Valuation, and Current Period Activity",Note 13,Note 16
Securitization,31,Assets Securitized and Resecuritized,Note 13,Note 16
Equity,32-33,Summary of Significant Accounting Policies,"Market Risk - Equity Securities, Note 1, and Note 4","Market Risk - Equity Securities, Note 1, and Note 4"
Equity,"32 & 34",Nonmarketable and Marketable Equity Securities,,
Equity,34,Realized and Unrealized Gains/(Losses),Market Risk - Equity Securities and Note 4,Market Risk - Equity Securities and Note 4
Operational Risk,35-36,Operational Risk,,Operational Risk Management and Model Risk Management
Market Risk,37-42,Market Risk,"Market Risk, Market Risk - Trading Activities, and Market Risk - Equity Securities","Risk Management, Risk Governance, Risk Operating Model - Roles and Responsibilities, Model Risk Management, Market Risk, Market Risk - Trading Activities, and Market Risk - Equity Securities"
"Interest Rate Risk for Non-Trading Activities",-,Overview,Interest Rate Risk,Interest Rate Risk
"Interest Rate Risk for Non-Trading Activities",-,Earnings Sensitivity,Asset/Liability Management and Table 22,Asset/Liability Management and Table 28
Supplementary Leverage Ratio,43-44,Supplementary Leverage Ratio,Capital Management and Table 36,Capital Management and Table 42
