Asset Category,Asset Category Description,HQLA Classification
S-8,"All other debt issued by sovereigns (excluding central banks) and supranational entities, not otherwise included",Non-HQLA Assets other
CB-4,"All other securities issued by central banks, not otherwise included",Non-HQLA Assets other
G-4,"Debt, other than senior or preferred, issued by a U.S. GSE",Non-HQLA Assets other
E-3,All other U.S.-listed common equity securities,Non-HQLA Assets other
E-4,All other non-US-listed common equity securities,Non-HQLA Assets other
E-5,ETFs listed on US exchanges,Non-HQLA Assets other
E-6,ETFs listed on non-US exchanges,Non-HQLA Assets other
E-7,US mutual fund shares,Non-HQLA Assets other
E-8,Non-US mutual fund shares,Non-HQLA Assets other
E-9,"All other US equity investments (including preferred shares, warrants and options)",Non-HQLA Assets other
E-10,"All other non-US equity investments (including preferred shares, warrants and options)",Non-HQLA Assets other
IG-3,Investment grade Vanilla ABS,Non-HQLA Assets other
IG-4,Investment grade Structured ABS,Non-HQLA Assets other
IG-5,Investment grade Private label Pass-thru CMBS/RMBS,Non-HQLA Assets other
IG-6,Investment grade Private label Structured CMBS/RMBS,Non-HQLA Assets other
IG-7,Investment grade covered bonds,Non-HQLA Assets other
IG-8,Investment grade obligations of municipals/PSEs (excluding U.S. general obligations),Non-HQLA Assets other
N-1,Non-investment grade general obligations issued by U.S. municipals/PSEs,Non-HQLA Assets other
N-2,Non-investment grade corporate debt,Non-HQLA Assets other
N-3,Non-investment grade Vanilla ABS,Non-HQLA Assets other
N-4,Non-investment grade structured ABS,Non-HQLA Assets other
N-5,Non-investment grade Private label Pass-thru CMBS/RMBS,Non-HQLA Assets other
N-6,Non-investment grade Private label Structured CMBS/RMBS,Non-HQLA Assets other
N-7,Non-investment grade covered bonds,Non-HQLA Assets other
N-8,Non-investment grade obligations of municipals/PSEs (excluding U.S. general obligations),Non-HQLA Assets other
L-1,GSE-eligible conforming residential mortgages,Non-HQLA Assets other
L-2,Other GSE-eligible loans,Non-HQLA Assets other
L-3,Other 1-4 family residential mortgages,Non-HQLA Assets other
L-4,Other multi family residential mortgages,Non-HQLA Assets other
L-5,Home equity loans,Non-HQLA Assets other
L-6,Credit card loans,Non-HQLA Assets other
L-7,Auto loans and leases,Non-HQLA Assets other
L-8,Other consumer loans and leases,Non-HQLA Assets other
L-9,Commercial real estate loans,Non-HQLA Assets other
L-10,Commercial and industrial loans,Non-HQLA Assets other
L-11,"All other loans, except loans guaranteed by U.S. government agencies",Non-HQLA Assets other
L-12,Loans guaranteed by U.S. government agencies,Non-HQLA Assets other
Y-1,Debt issued by reporting firm - parent,Non-HQLA Assets other
Y-2,Debt issued by reporting firm - bank,Non-HQLA Assets other
Y-3,Debt issued by reporting firm - all other (incl. conduits),Non-HQLA Assets other
Y-4,Equity investment in affiliates,Non-HQLA Assets other
C-1,Commodities,Non-HQLA Assets other
P-1,Residential property,Non-HQLA Assets other
P-2,All other physical property,Non-HQLA Assets other
LC-1,Letters of credit issued by a GSE,Non-HQLA Assets other
LC-2,"All other letters of credit, including bankers' acceptances",Non-HQLA Assets other
Z-1,All other assets,Non-HQLA Assets other
