Organization Type,Outflow Adjustment Percentage
Global systemically important BHC or GSIB depository institution,100 percent
Category II Board-regulated institution,100 percent
"Category III Board-regulated institution with $75B+ in avg weighted short-term wholesale funding (and consolidated subsidiaries)",100 percent
"Category III Board-regulated institution with <$75B in avg weighted short-term wholesale funding (and consolidated subsidiaries)",85 percent
Category IV Board-regulated institution with $50B+ in avg weighted short-term wholesale funding,70 percent
