Table Number,Table Title,LCR Rule Section,PID,Counterparty,Maturity Bucket,Collateral Class,Insured,Key Conditions
39,Brokered Retail Deposits Maturing within 30 days,S.32(g)(1),O.D.8,Retail or Small Business,<= 30 calendar days (but not open),#,#,
40,Brokered Retail Deposits Maturing later than 30 days,S.32(g)(2),O.D.8,Retail or Small Business,> 30 calendar days,#,#,
41,Insured Brokered Retail Deposits No Maturity,S.32(g)(3),O.D.8,Retail or Small Business,Open,#,FDIC,
42,Not Fully Insured Brokered Retail Deposits No Maturity,S.32(g)(4),O.D.8,Retail or Small Business,Open,#,Not FDIC,
43,Insured Reciprocal,S.32(g)(5),O.D.13,Retail or Small Business,#,#,FDIC,
44,Not Fully Insured Reciprocal,S.32(g)(6),O.D.13,Retail or Small Business,#,#,Not FDIC,
45,Insured Affiliated Sweeps,S.32(g)(7),"O.D.9, 10",Retail or Small Business,#,#,FDIC,
46,Insured Non-Affiliated Sweeps,S.32(g)(8),O.D.11,Retail or Small Business,#,#,FDIC,
47,Sweeps Not Fully Insured,S.32(g)(9),"O.D.9, 10, 11",Retail or Small Business,#,#,Not FDIC,
48,Insured Unsecured Wholesale Non-Op Non-Financial,S.32(h)(1)(i),"O.D.5, 6","Non-Financial Corporate, Sovereign, CB, GSE, PSE, MDB, Other Supra, Debt Issuing SPE, Other",<= 30 calendar days,NULL or Other,FDIC,Collateral Value=NULL
49,Not Insured Unsecured Wholesale Non-Op Non-Financial (Deposits),S.32(h)(1)(ii)(A),"O.D.5, 6","Non-Financial Corporate, Sovereign, CB, GSE, PSE, MDB, Other Supra, Debt Issuing SPE, Other",<= 30 calendar days,NULL or Other,Not FDIC,Collateral Value=NULL
50,Not Insured Unsecured Wholesale Non-Op Non-Financial (Wholesale),S.32(h)(1)(ii)(A),"O.W.9, 10, 17, 18","Non-Financial Corporate, Sovereign, CB, GSE, PSE, MDB, Other Supra, Debt Issuing SPE, Other",<= 30 calendar days,#,#,
51,Not Insured Unsecured Wholesale Non-Op Non-Financial (Secured Other),S.32(h)(1)(ii)(A),"O.S.1, 2, 3, 5, 6, 7, 11","Non-Financial Corporate, Sovereign, CB, GSE, PSE, MDB, Other Supra, Debt Issuing SPE, Other",<= 30 calendar days,Other,#,
52,Unsecured Wholesale Brokered Non-Op Non-Financial,S.32(h)(1)(ii)(B),"O.D.8-11, 13","Non-Financial Corporate, Sovereign, CB, GSE, PSE, MDB, Other Supra, Debt Issuing SPE, Other",<= 30 calendar days,NULL or Other,#,Collateral Value=NULL
53,Financial Non-Operational (Deposits),S.32(h)(2),"O.D.5, 6, 8-11, 13","Pension Fund, Bank, Broker-Dealer, Inv Co/Advisor, FMU, Other Supervised, Non-Reg Fund",<= 30 calendar days,NULL or Other,#,Collateral Value=NULL
54,Financial Non-Operational (Wholesale),S.32(h)(2),"O.W.9, 10, 17, 18","Pension Fund, Bank, Broker-Dealer, Inv Co/Advisor, FMU, Other Supervised, Non-Reg Fund",<= 30 calendar days,#,#,
55,Financial Non-Operational (Secured Other),S.32(h)(2),"O.S.1, 2, 3, 7, 11","Pension Fund, Bank, Broker-Dealer, Inv Co/Advisor, FMU, Other Supervised, Non-Reg Fund",<= 30 calendar days,Other,#,
56,Issued Debt Securities Maturing within 30 Days,S.32(h)(2),"O.W.8, 11-16",#,<= 30 calendar days,*,#,
57,Insured Operational Deposits,S.32(h)(3),O.D.4,Not Retail or Small Business,<= 30 calendar days,NULL or Other,FDIC,
58,Not Insured Operational Deposits (O.D.4),S.32(h)(4),O.D.4,All except Retail or Small Business,<= 30 calendar days,NULL or Other,Not FDIC,
59,Not Insured Operational Deposits (Escrow),S.32(h)(4),O.D.7,#,<= 30 calendar days,NULL or Other,#,
60,Other Unsecured Wholesale (Deposits),S.32(h)(5),"O.D.14, 15",Not Retail or Small Business,<= 30 calendar days,NULL or Other,#,
61,Other Unsecured Wholesale (Wholesale),S.32(h)(5),O.W.19,Not Retail or Small Business,<= 30 calendar days,#,#,
62,Other Unsecured Wholesale (Asset Exchange),S.32(h)(5),I.S.4,#,<= 30 calendar days,#,#,Sub-Product=No Collateral Pledged
63,Issued Not Structured Debt - Primary Market Maker,S.32(i)(1),S.L.4,#,#,#,#,Market Value=*
64,Issued Structured Debt - Primary Market Maker,S.32(i)(2),S.L.5,#,#,#,#,Market Value=*
65,Secured Funding L1 (Deposits),S.32(j)(1)(i),"O.D.4, 5, 6, 7",All counterparties (with CB note),<= 30 calendar days,Level 1 HQLA,#,CV < MA treated as unsecured under .32(h)
66,Secured Funding L1 (Outflows Secured),S.32(j)(1)(i),"O.S.1, 2, 3, 5, 6, 7, 11",All counterparties (with CB note),<= 30 calendar days,Level 1 HQLA,#,"O.S.7 not Unsettled; O.S.6 not Covered FRF; CV < MA treated as unsecured"
67,Secured Funding L1 (Wholesale),S.32(j)(1)(i),O.W.1-7,#,<= 30 calendar days,Level 1 HQLA,#,CV < MA treated as unsecured under .32(h)
