Table Number,Table Title,LCR Rule Section,PID,Counterparty,Maturity Bucket,Collateral Class,Collateral Value,Key Conditions
20,Mortgage Commitment Outflow Amount,S.32(d),O.O.6,#,<= 30 calendar days,#,#,
21,Affiliated DI Commitments,"S.32(e)(1)(i)","O.O.4, 5",Bank,<= 30 calendar days,*,*,"Internal=Y; Internal Counterparty=Bank from U.S. subject to LCR; Reporting Entity must be depository institution"
22,Retail Commitments,"S.32(e)(1)(ii)","O.O.4, 5, 18",Retail or Small Business,"<= 30 days for O.O.4/5; # for O.O.18",*,*,
23,Non-Financial Corporate Credit Facilities,"S.32(e)(1)(iii)",O.O.4,"Non-Financial Corporate, Sovereign, Central Bank, GSE, PSE, MDB, Other Supranational",<= 30 calendar days,*,*,
24,Non-Financial Corporate Liquidity Facilities,"S.32(e)(1)(iv)","O.O.5, 18","Non-Financial Corporate, Sovereign, Central Bank, GSE, PSE, MDB, Other Supranational, Municipalities for VRDN","<= 30 days for O.O.5; # for O.O.18",*,*,
25,Bank Commitments (Internal),"S.32(e)(1)(v)","O.O.4, 5, 18",Bank,"<= 30 days for O.O.4/5; # for O.O.18",*,*,"Internal=Y; Internal Counterparty=Bank not from U.S. or Bank from U.S. not subject to LCR"
26,Bank Commitments (External),"S.32(e)(1)(v)","O.O.4, 5, 18",Bank,"<= 30 days for O.O.4/5; # for O.O.18",*,*,"Internal=N; Internal Counterparty=NULL"
27,Non-Bank Non-SPE Financial Credit Facilities,"S.32(e)(1)(vi)",O.O.4,"Pension Fund, Broker-Dealer, Investment Co/Advisor, FMU, Other Supervised Non-Bank, Non-Regulated Fund",<= 30 calendar days,*,*,
28,Non-Bank Non-SPE Financial Liquidity Facilities,"S.32(e)(1)(vii)","O.O.5, 18","Pension Fund, Broker-Dealer, Investment Co/Advisor, FMU, Other Supervised Non-Bank, Non-Regulated Fund","<= 30 days for O.O.5; # for O.O.18",*,*,
29,Debt Issuing SPE Commitments,"S.32(e)(1)(viii)","O.O.4, 5, 18",Debt Issuing SPE,"<= 30 days for O.O.4/5; # for O.O.18",*,*,
30,Other Commitments,"S.32(e)(1)(ix)","O.O.4, 5, 18",Other,"<= 30 days for O.O.4/5; # for O.O.18",*,*,
31,Changes in Financial Condition - Total Collateral,S.32(f)(1),O.O.16,#,#,#,#,
32,Changes in Financial Condition - Rehypothecation,S.32(f)(1),O.O.12,#,#,#,#,
33,Derivative Collateral Potential Valuation Changes,S.32(f)(2),"S.DC.5, 6, 8, 9",#,#,Not level 1 HQLA,#,"Sub-Product2 not OTC-Centralized (Agent) or Exchange-traded (Agent)"
34,Potential Derivative Valuation Changes,S.32(f)(3),O.O.8,#,#,#,#,
35,Collateral Deliverables (Non-HQLA/Other),S.32(f)(4),S.DC.15,#,#,Non-HQLA or Other,#,
36,Collateral Deliverables (HQLA no TC),S.32(f)(4),S.DC.15,#,#,HQLA,#,Treasury Control=N
37,Collateral Deliverables (Disputes),S.32(f)(5),S.DC.16,#,#,#,#,
38,Collateral Substitution,S.32(f)(6),"S.DC.18, 20",#,#,#,#,
