Table Number,Table Name,LCR Section,PID,Product Type,Sub-Product/Collateral Posted,Sub-Product/Collateral Received,Key Distinguishing Fields
85,Secured but Lower Unsecured Rate,Section 32(j)(2),O.D.7 (collateralized only),Outflows-Deposits,,,"Collateral Class=Level 2B or Non-HQLA, Rehypothecated=N"
86,Asset Exchange Post L1 Receive L1,Section 32(j)(3)(i),I.S.4,Inflows-Secured,Level 1 HQLA,Level 1 HQLA,"Collateral Class=Level 1 HQLA, Collateral Value=*"
87,Asset Exchange Post L1 Receive L2A,Section 32(j)(3)(ii),I.S.4,Inflows-Secured,Level 2A HQLA,Level 1 HQLA,"Collateral Class=Level 1 HQLA, Collateral Value=*"
88,Asset Exchange Post L1 Receive L2B,Section 32(j)(3)(iii),I.S.4,Inflows-Secured,Level 2B HQLA,Level 1 HQLA,"Collateral Class=Level 1 HQLA, Collateral Value=*"
89,Asset Exchange Post L1 Receive Non-HQLA,Section 32(j)(3)(iv),I.S.4,Inflows-Secured,Non-HQLA,Level 1 HQLA,"Collateral Class=Level 1 HQLA, Collateral Value=*"
90,Asset Exchange Post L2A Receive L1 or L2A,Section 32(j)(3)(v),I.S.4,Inflows-Secured,Level 1 or Level 2A HQLA,Level 2A HQLA,"Collateral Class=Level 2A HQLA, Collateral Value=*"
91,Asset Exchange Post L2A Receive L2B,Section 32(j)(3)(vi),I.S.4,Inflows-Secured,Level 2B HQLA,Level 2A HQLA,"Collateral Class=Level 2A HQLA, Collateral Value=*"
92,Asset Exchange Post L2A Receive Non-HQLA,Section 32(j)(3)(vii),I.S.4,Inflows-Secured,Non-HQLA,Level 2A HQLA,"Collateral Class=Level 2A HQLA, Collateral Value=*"
93,Asset Exchange Post L2B Receive L1/L2A/L2B,Section 32(j)(3)(viii),I.S.4,Inflows-Secured,HQLA,Level 2B HQLA,"Collateral Class=Level 2B HQLA, Collateral Value=*"
94,Asset Exchange Post L2B Receive Non-HQLA,Section 32(j)(3)(ix),I.S.4,Inflows-Secured,Non-HQLA,Level 2B HQLA,"Collateral Class=Level 2B HQLA, Collateral Value=*"
95,Asset Exchange Post Rehyp Assets >30d Receive L1,Section 32(j)(3)(x),I.S.4,Inflows-Secured,Level 1 HQLA,,"Eff Maturity Bucket=>30 days or Open, Maturity Amount=*"
96,Asset Exchange Post Rehyp Assets >30d Receive L2A,Section 32(j)(3)(xi),I.S.4,Inflows-Secured,Level 2A HQLA,,"Eff Maturity Bucket=>30 days or Open, Maturity Amount=*"
97,Asset Exchange Post Rehyp Assets >30d Receive L2B,Section 32(j)(3)(xii),I.S.4,Inflows-Secured,Level 2B HQLA,,"Eff Maturity Bucket=>30 days or Open, Maturity Amount=*"
98,Asset Exchange Post Rehyp Assets >30d Receive Non-HQLA,Section 32(j)(3)(xiii),I.S.4,Inflows-Secured,Non-HQLA,,"Eff Maturity Bucket=>30 days or Open, Maturity Amount=*"
99,Foreign Central Banking Borrowing (Deposits),Section 32(k),"O.D.4,5,6,7",Outflows-Deposits,,,"Counterparty=Central Bank, Collateral Class=Not NULL or Other"
100,Foreign Central Banking Borrowing (Secured O.S.1-3),Section 32(k),"O.S.1,2,3",Outflows-Secured,,,"Counterparty=Central Bank, Collateral Class=Not Other"
101,Foreign Central Banking Borrowing (O.S.6),Section 32(k),O.S.6,Outflows-Secured,Specific central bank,,"Counterparty=Central Bank, Collateral Class=Not Other"
102,Other Contractual Outflows (O.O.19),Section 32(l),O.O.19,Outflows-Other,,,Maturity Amount=*
103,Other Contractual Outflows (O.O.22),Section 32(l),O.O.22,Outflows-Other,,,"Counterparty=Not Retail or Small Business, Forward Start=NULL"
104,Net Derivatives Cash Inflow Amount,Section 33(b),I.O.7,Inflows-Other,,,Maturity Bucket<=30 calendar days
105,Retail Cash Inflow Amount (Unsecured),Section 33(c),"I.U.5,6",Inflows-Unsecured,,,"Counterparty=Retail or Small Business, Encumbrance Type=Not Covered FRFF"
