Section,PID,Product
Inflows - Assets,I.A.1,Unencumbered Assets
Inflows - Assets,I.A.2,Capacity
Inflows - Assets,I.A.3,Unrestricted Reserve Balances
Inflows - Assets,I.A.4,Restricted Reserve Balances
Inflows - Assets,I.A.7,Encumbered Assets
Inflows - Unsecured,I.U.3,Required Operational Balances
Inflows - Unsecured,I.U.4,Excess Operational Balances
Inflows - Unsecured,I.U.7,Cash Items in the Process of Collection
Inflows - Unsecured,I.U.8,Short-Term Investments
Inflows - Other,I.O.1,Derivative Receivables
Inflows - Other,I.O.2,Collateral Called for Receipt
Inflows - Other,I.O.3,TBA Sales
Inflows - Other,I.O.4,Undrawn Committed Facilities Purchased
Inflows - Other,I.O.5,Lock-up Balance
Inflows - Other,I.O.6,Interest and Dividends Receivable
Inflows - Other,I.O.7,Net 30-Day Derivative Receivables
Inflows - Other,I.O.8,Principal Payments Receivable on Unencumbered Investment Securities
Inflows - Other,I.O.9,Other Cash Inflows
Outflows - Wholesale,O.W.18,Free Credits
Outflows - Deposits,O.D.1,Transactional Accounts
Outflows - Deposits,O.D.2,Non-Transactional Relationship Accounts
Outflows - Deposits,O.D.3,Non-Transactional Non-Relationship Accounts
Outflows - Deposits,O.D.4,Operational Account Balances
Outflows - Deposits,O.D.5,Excess Balances in Operational Accounts
Outflows - Deposits,O.D.6,Non-Operational Account Balances
Outflows - Deposits,O.D.7,Operational Escrow Accounts
Outflows - Deposits,O.D.8,Non-Reciprocal Brokered Deposits
Outflows - Deposits,O.D.9,Stable Affiliated Sweep Account Balances
Outflows - Deposits,O.D.10,Less Stable Affiliated Sweep Account Balances
Outflows - Deposits,O.D.11,Non-Affiliated Sweep Accounts
Outflows - Deposits,O.D.12,Other Product Sweep Accounts
Outflows - Deposits,O.D.13,Reciprocal Accounts
Outflows - Deposits,O.D.14,Other Third-Party Deposits
Outflows - Deposits,O.D.15,Other Accounts
Outflows - Other,O.O.1,Derivative Payables
Outflows - Other,O.O.2,Collateral Called for Delivery
Outflows - Other,O.O.3,TBA Purchases
Outflows - Other,O.O.4,Credit Facilities
Outflows - Other,O.O.5,Liquidity Facilities
Outflows - Other,O.O.6,Retail Mortgage Commitments
Outflows - Other,O.O.7,Trade Finance Instruments
Outflows - Other,O.O.8,MTM Impact on Derivative Positions
Outflows - Other,O.O.9,Loss of Rehypothecation Rights Due to a 1 Notch Downgrade
Outflows - Other,O.O.10,Loss of Rehypothecation Rights Due to a 2 Notch Downgrade
Outflows - Other,O.O.11,Loss of Rehypothecation Rights Due to a 3 Notch Downgrade
Outflows - Other,O.O.12,Loss of Rehypothecation Rights Due to a Change in Financial Condition
Outflows - Other,O.O.13,Total Collateral Required Due to a 1 Notch Downgrade
Outflows - Other,O.O.14,Total Collateral Required Due to a 2 Notch Downgrade
Outflows - Other,O.O.15,Total Collateral Required Due to a 3 Notch Downgrade
Outflows - Other,O.O.16,Total Collateral Required Due to a Change in Financial Condition
Outflows - Other,O.O.17,Excess Margin
Outflows - Other,O.O.18,Unfunded Term Margin
Outflows - Other,O.O.19,Interest and Dividends Payable
Outflows - Other,O.O.20,Net 30-Day Derivative Payables
Outflows - Other,O.O.21,Other Outflows Related to Structured Transactions
Outflows - Other,O.O.22,Other Cash Outflows
Supplemental - D&C,S.DC.1,Gross Derivative Asset Values
Supplemental - D&C,S.DC.2,Gross Derivative Liability Values
Supplemental - D&C,S.DC.3,Derivative Settlement Payments Delivered
Supplemental - D&C,S.DC.4,Derivative Settlement Payments Received
Supplemental - D&C,S.DC.5,Initial Margin Posted - House
Supplemental - D&C,S.DC.6,Initial Margin Posted - Customer
Supplemental - D&C,S.DC.7,Initial Margin Received
Supplemental - D&C,S.DC.8,Variation Margin Posted - House
