Table,PID,Product,Sub-Product,Sub-Product 2
Inflows - Assets,2,Capacity,Federal Reserve Bank,
Inflows - Assets,2,Capacity,Swiss National Bank,
Inflows - Assets,2,Capacity,Bank of England,
Inflows - Assets,2,Capacity,European Central Bank,
Inflows - Assets,2,Capacity,Bank of Japan,
Inflows - Assets,2,Capacity,Reserve Bank of Australia,
Inflows - Assets,2,Capacity,Bank of Canada,
Inflows - Assets,2,Capacity,Other Central Bank,
Inflows - Assets,2,Capacity,Federal Home Loan Bank,
Inflows - Assets,2,Capacity,Other Government Sponsored Entity,
Inflows - Assets,3,Unrestricted Reserve Balances,Federal Reserve Bank,
Inflows - Assets,4,Restricted Reserve Balances,Swiss National Bank,
Inflows - Assets,4,Restricted Reserve Balances,Bank of England,
Inflows - Assets,4,Restricted Reserve Balances,European Central Bank,
Inflows - Assets,4,Restricted Reserve Balances,Bank of Japan,
Inflows - Assets,4,Restricted Reserve Balances,Reserve Bank of Australia,
Inflows - Assets,4,Restricted Reserve Balances,Bank of Canada,
Inflows - Assets,4,Restricted Reserve Balances,Other Central Bank,
Inflows - Assets,4,Restricted Reserve Balances,Currency and Coin,
Inflows - Secured,4,Collateral Swaps,Level 1 Pledged,
Inflows - Secured,4,Collateral Swaps,Level 2a Pledged,
Inflows - Secured,4,Collateral Swaps,Level 2b Pledged,
Inflows - Secured,4,Collateral Swaps,Non-HQLA Pledged,
Inflows - Secured,4,Collateral Swaps,No Collateral Pledged,
Outflows - Secured,4,Collateral Swaps,Level 1 Received,
Outflows - Secured,4,Collateral Swaps,Level 2a Received,
Outflows - Secured,4,Collateral Swaps,Level 2b Received,
Outflows - Secured,4,Collateral Swaps,Non-HQLA Received,
Outflows - Secured,4,Collateral Swaps,No Collateral Received,
Outflows - Secured,6,Exceptional Central Bank Operations,Federal Reserve Bank,
Outflows - Secured,6,Exceptional Central Bank Operations,Swiss National Bank,
Outflows - Secured,6,Exceptional Central Bank Operations,Bank of England,
Outflows - Secured,6,Exceptional Central Bank Operations,European Central Bank,
Outflows - Secured,6,Exceptional Central Bank Operations,Bank of Japan,
Outflows - Secured,6,Exceptional Central Bank Operations,Reserve Bank of Australia,
Outflows - Secured,6,Exceptional Central Bank Operations,Bank of Canada,
Outflows - Secured,6,Exceptional Central Bank Operations,Other Central Bank,
Outflows - Secured,6,Exceptional Central Bank Operations,Covered Federal Reserve Facility Funding,
Outflows - Secured,7,Customer Shorts,External Cash Transactions,
Outflows - Secured,8,Firm Shorts,External Non-Cash Transactions,
Outflows - Secured,8,Firm Shorts,Firm Longs,
Outflows - Secured,8,Firm Shorts,Customer Longs,
Outflows - Secured,8,Firm Shorts,Unsettled - Regular Way,
Outflows - Secured,8,Firm Shorts,Unsettled - Forward,
Outflows - Secured,9,Synthetic Customer Shorts,Firm Short,
Outflows - Secured,10,Synthetic Firm Financing,Synthetic Customer Long,
Outflows - Secured,10,Synthetic Firm Financing,Synthetic Firm Sourcing,
Outflows - Secured,10,Synthetic Firm Financing,Futures,
Outflows - Secured,10,Synthetic Firm Financing,Other,
Outflows - Secured,10,Synthetic Firm Financing,Unhedged,
Inflows - Secured,9,Synthetic Customer Longs,Physical Long Position,
Inflows - Secured,10,Synthetic Firm Sourcing,Synthetic Customer Short,
Inflows - Secured,10,Synthetic Firm Sourcing,Synthetic Firm Financing,
Inflows - Secured,10,Synthetic Firm Sourcing,Futures,
Inflows - Secured,10,Synthetic Firm Sourcing,Other,
Inflows - Secured,10,Synthetic Firm Sourcing,Unhedged,
Supplemental - Derivatives & Collateral,1,Gross Derivative Asset Values,Rehypothecatable - Unencumbered,OTC - Bilateral
Supplemental - Derivatives & Collateral,2,Gross Derivative Liability Values,Rehypothecatable - Encumbered,OTC - Centralized (Principal)
Supplemental - Derivatives & Collateral,3,Derivative Settlement Payments Delivered,Non-Rehypothecatable,OTC - Centralized (Agent)
Supplemental - Derivatives & Collateral,4,Derivative Settlement Payments Received,Segregated Cash,Exchange-traded (Principal)
Supplemental - Derivatives & Collateral,5,Initial Margin Posted - House,Non-Segregated Cash,Exchange-traded (Agent)
Supplemental - Derivatives & Collateral,6,Initial Margin Posted - Customer,,
Supplemental - Derivatives & Collateral,7,Initial Margin Received,,
Supplemental - Derivatives & Collateral,8,Variation Margin Posted - House,,
Supplemental - Derivatives & Collateral,9,Variation Margin Posted - Customer,,
Supplemental - Derivatives & Collateral,10,Variation Margin Received,,
