Asset Category,HQLA Level,Asset Category Description
A-2,Non-HQLA,U.S. Government Agency-issued debt (excluding the US Treasury) with a US Government guarantee
A-3,Non-HQLA,"Vanilla debt (including pass-through MBS) guaranteed by a U.S. Government Agency, where the U.S. Government Agency has a full U.S. Government guarantee"
A-4,Non-HQLA,"Structured debt (excluding pass-through MBS) guaranteed by a U.S. Government Agency, where the U.S. Government Agency has a full U.S. Government guarantee"
A-5,Non-HQLA,Other debt with a U.S. Government guarantee
S-1,Non-HQLA,Debt issued by non-U.S. Sovereigns (excluding central banks) with a 0% RW
S-2,Non-HQLA,Debt issued by multilateral development banks or other supranationals with a 0% RW
S-3,Non-HQLA,"Debt with a non-U.S. sovereign (excluding central banks) or multilateral development bank or other supranational guarantee, where guaranteeing entity has a 0% RW"
S-4,Non-HQLA,"Debt issued or guaranteed by a non-U.S. Sovereign (excluding central banks) that does not have a 0% RW, but supports outflows that are in the same jurisdiction of the sovereign and are denominated in the home currency of the sovereign"
CB-1,Non-HQLA,Securities issued or guaranteed by a central bank with a 0% RW
CB-2,Non-HQLA,"Securities issued or guaranteed by a non-U.S. central bank that does not have a 0% RW, but supports outflows that are in the same jurisdiction of the central bank and are denominated in the home currency of the central bank"
G-1,Non-HQLA,Senior to preferred debt issued by a U.S. Government Sponsored Entity (GSE)
G-2,Non-HQLA,Vanilla debt (including pass-through MBS) guaranteed by a U.S. GSE
G-3,Non-HQLA,Structured debt (excluding pass-through MBS) guaranteed by a U.S. GSE
S-5,Non-HQLA,"Debt issued by Non-U.S. Sovereigns with a 20% RW, not otherwise included"
S-6,Non-HQLA,"Debt issued by multilateral development banks or other supranationals with a 20% RW, not otherwise included"
S-7,Non-HQLA,"Debt with a non-U.S. sovereign or multilateral development bank or other supranational guarantee, where guaranteeing entity has a 20% RW, not otherwise included"
CB-3,Non-HQLA,"Securities issued or guaranteed by a non-U.S. central bank with a 20% RW, not otherwise included"
E-1,Non-HQLA,U.S. equities - Russell 1000
E-2,Non-HQLA,"Non-U.S. Equities listed on a foreign index designated to by the local supervisor as qualifying for the LCR, and denominated in USD or the currency of outflows that the foreign entity is supporting"
IG-1,Non-HQLA,Investment grade corporate debt
IG-2,Non-HQLA,Investment grade U.S. municipal general obligations
