Table 2: Regulatory Capital Information of Wells Fargo & Company and its Insured Depository Subsidiaries,,,,,,,June 30 2024
Advanced Approach - CECL Transition,"CET1 Capital ($ millions)","Tier 1 Capital ($ millions)","Total Capital ($ millions)","Advanced Approach RWAs ($ millions)","CET1 Capital Ratio (%)","Tier 1 Capital Ratio (%)","Total Capital Ratio (%)"
Wells Fargo & Company,134249,150547,172927,1093025,12.28,13.77,15.82
"Wells Fargo Bank, N.A.",145522,145522,158900,937335,15.53,15.53,16.95
"Wells Fargo Bank South Central, N.A.",782,782,784,513,152.43,152.43,152.79
Wells Fargo National Bank West,1455,1455,1461,1665,87.38,87.38,87.74
