Table 17: Market Risk Capital and Risk-Weighted Assets,,,,Quarter ended June 30 2024
(in millions),,Risk-Based Capital,RWAs
Total VaR,,$137,$1715
Total Stressed VaR,,$1475,$18432
Incremental Risk Charge (IRC),,$80,$1005
Internal Models Total,,$1692,$21152
Securitization Product Charge,,$562,$7022
Standard Specific Risk Charge,,$1202,$15025
De Minimis Charges (positions not included in models),,$72,$897
Company Capital and RWA,,$3528,$44096
