Table 22: Covered Securitization Positions by Exposure Type (Net Market Value),,,,,June 30 2024
(in millions),,ABS,CMBS,RMBS,CLO/CDO
Securities,,$1584,$914,$678,$933
Derivatives,,$0,$3,$0,$0
Total,,$1584,$917,$678,$933
