Table 19: Total VaR Risk-Weighted Assets,,,,,,,,
(in millions),,June 30 2024,,Three months ended June 30 2024,,,
,,Period End,High,Low,Average,Risk-Based Capital,RWAs
Total VaR,,$55,$76,$31,$46,$137,$1715
