Disclosure Map - Pillar 3 Cross-Reference,,,,,
Pillar 3 Requirement,Pillar 3 Report Page,Pillar 3 Requirement Description,Second Quarter 2024 Form 10-Q Reference,2023 Form 10-K Reference
Scope of Application / Capital Structure & Capital Adequacy,6-11,Overview,"Capital Management, Total Loss Absorbing Capacity, Note 1, and Note 22","Risk Management, Capital Management, Total Loss Absorbing Capacity, Note 1, and Note 26"
,12-13,Capital Management and Structure,"Capital Management, Capital Planning and Stress Testing, Regulatory Matters, Note 1, and Note 9","Risk Management, Capital Management, Capital Planning and Stress Testing, Regulatory Matters, Note 1, Note 11, Note 12, and Note 26"
,14-16,Measurement of Capital/RWA,Capital Management and Table 33,Capital Management and Table 39
Credit Risk: General Disclosures,17-25,Credit Risk Management Overview,"Credit Risk Management, Asset/Liability Management, and Note 1","Credit Risk Management, Model Risk Management, Asset/Liability Management, and Note 1"
,18,Exposure Types/Impaired Loans and Adjusted Allowance for Credit Losses,"Note 3, Note 5, Note 11, Table 18, Table 19, Table 20, Table 21, and Table 22","Note 3, Note 5, Note 14, Table 24, Table 25, Table 26, Table 27, and Table 28"
,18,Industry and Geographic Distribution,"Note 3, Note 11, Table 1, Table 12, Table 13, Table 14, Table 15, Table 16, and Table 19","Note 3, Note 5, Note 14, Table 3, Table 12, Table 18, Table 19, Table 20, Table 21, Table 22, and Table 25"
Credit Risk: Internal Ratings-Based,17-25,Credit Risk Management,"Credit Risk Management, Asset/Liability Management, and Note 1","Credit Risk Management, Model Risk Management, Asset/Liability Management, and Note 1"
,17-25,Credit Quality Overview,Table 21,Table 27
Counterparty Credit Risk,25-26,Overview,Note 11,Note 14
,26-28,Counterparty Credit Risk Management/Collateral,Note 11,Note 14
Credit Risk Mitigation,20 & 27-28,Guarantees and Credit Derivatives,Note 14 and Note 15,"Off-Balance Sheet Arrangements, Note 17, Note 18, and Note 19"
Securitization,29-31,Objectives and Roles,Note 1 and Note 13,Note 1 and Note 16
,29-33,Risk Management and Methodology,,
,31-33,Accounting Valuation and Current Period Activity,Note 13,Note 16
,32,Assets Securitized and Resecuritized,Note 13,Note 16
Equity,33-34,Summary of Significant Accounting Policies,"Market Risk - Equity Securities, Note 1, and Note 4","Market Risk - Equity Securities, Note 1, and Note 4"
,35,Nonmarketable and Marketable Equity Securities,,
,35,Realized and Unrealized Gains/(Losses),Market Risk - Equity Securities and Note 4,Market Risk - Equity Securities and Note 4
Operational Risk,37-38,Operational Risk,,Operational Risk Management and Model Risk Management
Market Risk,39-44,Market Risk,"Market Risk, Market Risk - Trading Activities, and Market Risk - Equity Securities","Risk Management, Risk Governance, Risk Operating Model - Roles and Responsibilities, Model Risk Management, Market Risk, Market Risk - Trading Activities, and Market Risk - Equity Securities"
Interest Rate Risk for Non-Trading Activities,-,Overview,Interest Rate Risk,Interest Rate Risk
,-,Earnings Sensitivity,Asset/Liability Management and Table 24,Asset/Liability Management and Table 30
Supplementary Leverage Ratio,45-46,Supplementary Leverage Ratio,Capital Management and Table 39,Capital Management and Table 45
