Table 21: Incremental Risk Charge (IRC) Risk-Weighted Assets,,,,,,,,
(in millions),,June 30 2024,,Three months ended June 30 2024,,,
,,Period End,High,Low,Average,Risk-Based Capital,RWAs
IRC,,$79,$94,$64,$80,$80,$1005
