Table 2a: Regulatory Capital Information - CECL Fully Phased-In,,,,,,,June 30 2024
Advanced Approach - CECL Fully Phased-In,"CET1 Capital ($ millions)","Tier 1 Capital ($ millions)","Total Capital ($ millions)","Advanced Approach RWAs ($ millions)","CET1 Capital Ratio (%)","Tier 1 Capital Ratio (%)","Total Capital Ratio (%)"
Wells Fargo & Company,134205,150504,172883,1093239,12.28,13.77,15.81
"Wells Fargo Bank, N.A.",145472,145472,158849,937572,15.52,15.52,16.94
"Wells Fargo Bank South Central, N.A.",782,782,784,513,152.43,152.43,152.79
Wells Fargo National Bank West,1451,1451,1457,1660,87.38,87.38,87.74
