Table 12: Aggregate Amount of On- and Off-Balance Sheet Securitization Exposures,,,,,June 30 2024
(in millions),,On-Balance Sheet EAD,Off-Balance Sheet EAD,Total Exposure at Default,Advanced Approach RWAs
Commercial mortgages,,$18408,$138,$18546,$4594
Residential mortgages,,$2968,$344,$3312,$1082
Corporate,,$58698,$13442,$72140,$15320
Auto loans / leases,,$14834,$7462,$22296,$5583
Other,,$17435,$8259,$25694,$5931
Total Securitization Exposures,,$112343,$29645,$141988,$32510
