Table 26b: TLAC and Eligible Unsecured Long-Term Debt,,,,,,June 30 2024
(in millions),,TLAC,Regulatory Minimum,Eligible Unsecured Long-term Debt,Regulatory Minimum
Total eligible amount,,$302253,,$138087,
Percentage of RWAs,,24.78%,21.50%,11.32%,7.50%
Percentage of total leverage exposure,,13.38%,9.50%,6.11%,4.50%
