Table 18: General VaR by Risk Category,,,,,,
(in millions),,June 30 2024,,Three months ended June 30 2024,
,,Period End,High,Low,Average
Wells Fargo Regulatory General VaR by Risk Category,,,,,,
Credit,,$79,$103,$55,$83
Interest rate,,$64,$97,$26,$63
Equity,,$40,$56,$20,$27
Commodity,,$12,$33,$6,$9
Foreign exchange,,$10,$13,$5,$9
Diversification benefit,,$-164,N/A,N/A,$-155
Company Regulatory General VaR,,$41,$73,$19,$36
