Table 25a: Supplementary Leverage Ratio,,,,June 30 2024
(in millions except ratio),,,,
Tier 1 capital,(A),,$150547
Total average assets,,,$1914708
Less: amounts deducted from Tier 1 capital,,,$27201
Total adjusted average assets,,,$1887507
Adjustment for derivative exposures,,,$59932
Adjustment for repo-style transactions,,,$5711
Adjustment for other off-balance sheet exposures,,,$305374
Total off-balance sheet exposures,,,$371017
Total leverage exposure,(B),,$2258524
Supplementary leverage ratio,(A)/(B),,6.67%
