Table 15: Equity Capital Instruments,,,,June 30 2024
(in millions),,Carrying Value,Fair Value,Unrealized Gains (Losses)
Held for Trading at Fair Value:,,,,
Marketable equity securities,,$1541,$1541,--
Nonmarketable equity securities,,$4508,$4508,--
Total Equity Securities Held for Trading,,$6049,$6049,--
Not Held for Trading:,,,,
Equity securities at fair value,,,,
Marketable equity securities,,$1800,$1800,--
Nonmarketable equity securities,,$50,$50,--
Tax credit investments,,,,
Affordable housing investments and other,,$12925,$12925,--
Renewable energy,,$8661,$8661,--
Private equity,,,,
Equity method,,$2504,$4195,$1691
Measurement alternative,,$1404,$1506,$102
Federal Reserve Bank stock and other at cost,,$4140,$4226,$86
Total Equity Securities Not Held for Trading,,$31484,$33363,$1879
Separate Account BOLI,,$11600,$11600,--
Other,,$232,$232,--
Total Equity Capital Instruments,,$49365,$51244,$1879
