Table 9c: Counterparty Credit Risk Credit Derivatives,,,,,June 30 2024
(in millions),,Intermediation Activities,,Own Portfolio,
,,Purchased,Sold,Purchased,Sold
Credit default swaps,,$76279,$49426,$11104,$12840
Total return swaps,,--,--,$309,$65
Credit options,,--,--,$150,--
Grand Total,,$76279,$49426,$11563,$12905
