Table,Table 10 - Principal Amount Outstanding and Exposures Past Due by Underlying Collateral Type,,,,December 31 2024
(Dollars in millions),BAC assets held in traditional securitizations,Third-party assets held in traditional securitizations,BAC assets held in synthetic securitizations,Assets impaired or past due
Collateral Type:,,,,
Residential mortgages,15610,938,0,2987
Commercial mortgages,45309,0,0,615
Municipal bonds,1984,0,0,0
Total,62903,938,0,3603
