Table,Table 7 - Wholesale Exposures by PD Range,,,,,,December 31 2024
(Dollars in millions),Balance Sheet Amount,Undrawn Commitments,EAD,RWA,PD (Exposure-Weighted Avg),LGD (Exposure-Weighted Avg),Risk Weight (Exposure-Weighted Avg)
0.00 to < 0.15,1400400,368085,1609329,159888,0.03%,23.49%,9.94%
0.15 to < 0.50,144561,108905,196800,93792,0.29%,40.15%,47.66%
0.50 to < 2.50,169765,77160,203031,157502,1.08%,35.81%,77.58%
2.50 to < 10.00,40254,17503,45954,55888,4.39%,37.76%,121.62%
10.00 to < 100.00,23715,11552,27316,43168,16.23%,33.36%,158.03%
100.00 (default),4899,1678,5615,5446,100.00%,n/a,96.99%
Total,1783594,584883,2088045,515684,0.74%,26.74%,24.70%
