Table,Table 1 - Capital Composition
December 31 2024 (Dollars in millions),Basel 3 CECL Transitional,Basel 3 CECL Fully Phased-In
Total common shareholders' equity,272400,272400
CECL transitional amount (1),627,0
"Goodwill, net of related deferred tax liabilities",-68649,-68649
Deferred tax assets arising from net operating loss and tax credit carryforwards,-8097,-8097
"Intangibles, other than mortgage servicing rights and goodwill, net of related deferred tax liabilities",-1440,-1440
Defined benefit pension plan net assets,-786,-786
"Cumulative unrealized net (gain) loss related to changes in fair value of financial liabilities attributable to own creditworthiness, net-of-tax",1491,1491
Accumulated net (gains) loss on certain cash flow hedges (2),5629,5629
Other,-92,-92
Common equity tier 1 capital,201083,200456
"Qualifying preferred stock, net of issuance cost",22391,22391
Other,-16,-16
Tier 1 capital,223458,222831
Tier 2 capital instruments,18592,18592
Qualifying allowance for credit losses (3),13558,14411
Other,-245,-245
Total capital under the Standardized approach,255363,255589
Adjustment in qualifying allowance for credit losses under the Advanced approaches (3),-10554,-10580
Total capital under the Advanced approaches,244809,245009
