Table,Table 6 - Other Retail Exposures by PD Range,,,,,,December 31 2024
(Dollars in millions),Balance Sheet Amount,Undrawn Commitments,EAD,RWA,PD (Exposure-Weighted Avg),LGD (Exposure-Weighted Avg),Risk Weight (Exposure-Weighted Avg)
0.00 to < 0.50,70550,243134,119393,11182,0.09%,42.20%,9.37%
0.50 to < 1.50,14563,10441,20892,12484,0.95%,61.25%,59.75%
1.50 to < 3.50,5037,952,6145,5638,2.32%,69.23%,91.75%
3.50 to < 7.00,3767,317,4174,5084,4.88%,82.82%,121.80%
7.00 to < 10.00,908,90,999,1346,8.26%,84.79%,134.73%
10.00 to < 100.00,2279,128,2425,3933,33.90%,80.88%,162.19%
100.00 (default),242,40,242,242,100.00%,n/a,100.00%
Total,97346,255102,154270,39909,1.16%,47.87%,25.87%
