Table,Table 8b - Counterparty Credit Exposures by PD Range,,,,,December 31 2024
(Dollars in millions),EAD,RWA,PD (Exposure-Weighted Avg),LGD (Exposure-Weighted Avg),Risk Weight (Exposure-Weighted Avg)
0.00 to < 0.15,150472,30402,0.07%,42.28%,20.20%
0.15 to < 0.50,47452,22043,0.32%,44.08%,46.45%
0.50 to < 2.50,44239,34201,0.92%,44.17%,77.31%
2.50 to < 10.00,2518,4212,7.04%,50.36%,167.28%
10.00 to < 100.00,601,1510,20.34%,48.35%,251.25%
100.00 (default),2,2,100.00%,n/a,100.00%
Eligible margin loans - 300%,83,249,n/a,n/a,300.00%
Total,245367,92619,0.39%,43.07%,37.75%
