Table,Total Loss-Absorbing Capacity and Long-Term Debt under CECL Transitional,,,,December 31 2024
(Dollars in millions),TLAC (1),Regulatory Minimum (2),Long-term Debt,Regulatory Minimum (3)
Regulatory Capital,,,,,
Total eligible balance,459857,,220666,
Percentage of risk-weighted assets (4),27.1%,22.0%,13.0%,9.0%
Percentage of total supplementary leverage exposure,12.0%,9.5%,5.8%,4.5%
