Table,Table 14 - Market Risk - Total Regulatory VaR,,,,Three months ended December 31 2024
(Dollars in millions),Period End,Average,High,Low
Foreign exchange,69,48,75,33
Interest rate,189,178,251,125
Credit,168,171,205,140
Equities,102,75,109,48
Commodities,29,29,38,22
Portfolio diversification,-308,-299,NM,NM
Total Regulatory VaR,249,202,255,168
