Table,Table 9 - Wholesale EAD and RWA reflecting the benefit of Eligible Guarantees / Credit Derivatives,,December 31 2024
(Dollars in millions),EAD,RWA
Corporate,31803,9286
Bank,201,44
Sovereign,299,63
IPRE,6516,4016
HVCRE,39,68
Total,38858,13477
