Table,Table 12 - Securitization EAD and RWA by Risk Weights,,,,,,,December 31 2024
(Dollars in millions),SFA EAD,SFA RWA,SSFA EAD,SSFA RWA,1250% EAD,1250% RWA,Total EAD,Total RWA
Securitization,,,,,,,,,
= 0% to <= 20%,14495,2899,119896,23979,0,0,134391,26878
> 20% to <= 50%,658,156,8927,2855,0,0,9585,3011
> 50% to <= 100%,533,429,2529,1702,0,0,3062,2131
> 100% to < 1250%,21,27,1770,9704,0,0,1791,9731
= 1250%,0,0,593,7407,69,864,662,8271
Resecuritization,,,,,,,,,
= 0% to <= 20%,0,0,831,166,0,0,831,166
> 20% to <= 50%,0,0,0,0,0,0,0,0
> 50% to <= 100%,0,0,11,6,0,0,11,6
> 100% to < 1250%,0,0,206,1142,0,0,206,1142
= 1250%,0,0,40,505,0,0,40,505
Total Securitization,15707,3511,134803,47466,69,864,150579,51841
