Table,Table 13 - Market Risk - RWA,,December 31 2024
(Dollars in millions),Capital,RWA
Regulatory VaR 10-day holding period (1),605,7568
Regulatory SVaR 10-day holding period,1102,13770
Incremental risk charge,389,4857
Comprehensive risk measure,221,2764
Total internal models,2317,28959
Standard specific risk - Securitization,628,7853
Standard specific risk - Non-securitization,2513,31415
Other charges (2),410,5127
Total market risk,5868,73353
