Table,Table 21 - Supplementary Leverage Ratio under CECL Transitional,December 31 2024
(Dollars in millions),Amount,
Tier 1 Capital,223458,
Total consolidated assets (1),3262416,
Adjustment for derivative transactions,176016,
Adjustment for repo-style transactions,35572,
Adjustment for off-balance sheet exposures,368959,
Other adjustments (2),-24617,
Total Supplementary Leverage Exposure,3818346,
SLR,5.9%,
