Table,Table 11 - Total Securitization EAD and RWA,,,,December 31 2024
(Dollars in millions),EAD On-Balance Sheet,EAD Off-Balance Sheet,EAD Total,RWA
Residential mortgages,12412,3004,15416,10316
Commercial mortgages,2121,471,2592,4998
Commercial and Industrial,45611,11505,57116,17279
Consumer auto loans,35258,5962,41220,8869
Student Loans,4591,2102,6693,2296
Municipal bonds,176,1456,1632,628
Other,17251,8659,25910,7455
Total,117420,33159,150579,51841
