Table,Table 2 - Regulatory Capital - Bank of America Corporation,,,December 31 2024
Entity,Bank of America Corporation,,,
(Dollars in millions except ratios),Basel 3 Standardized CECL Transitional,Basel 3 Standardized CECL Fully Phased-In,Basel 3 Advanced CECL Transitional,Basel 3 Advanced CECL Fully Phased-In
Regulatory Capital,,,,
Common equity tier 1 capital,201083,200456,201083,200456
Tier 1 capital,223458,222831,223458,222831
Total capital (2),255363,255589,244809,245009
Assets,,,,
Risk-weighted assets,1695743,1695935,1489896,1490100
Adjusted quarterly average assets (3),3239641,3239014,3239641,3239014
Supplementary Leverage Exposure,,,3818346,3817719
Capital Ratios,,,,
Common equity tier 1 capital,11.9%,11.8%,13.5%,13.5%
Tier 1 capital,13.2%,13.1%,15.0%,15.0%
Total capital,15.1%,15.1%,16.4%,16.4%
Tier 1 leverage,6.9%,6.9%,6.9%,6.9%
Supplementary Leverage Ratio,,,5.9%,5.8%
