Supplementary leverage ratio,,,
$ in millions,,At December 31 2024,
On-balance sheet exposures,,,
"On-balance sheet assets (excluding on-balance sheet assets for repo-style transactions and derivative exposures, but including cash collateral received in derivative transactions) (note 1)",,$,"954,807"
"Less: Amounts deducted from tier 1 capital (note 2)",,,"(22,459)"
"Less: Deduction of qualifying central bank deposits for custodial banking organizations",,,"--"
"Total on-balance sheet exposures (excluding on-balance sheet assets for repo style transactions and derivatives exposures, but including cash collateral received in derivative transactions)",,,"932,348"
,,,
Derivative disclosures,,,
"Replacement cost for derivative exposures (net of cash variation margin)",,$,"72,320"
"Add-on amounts for potential future exposure (PFE) for derivatives (note 3)",,,"139,486"
"Gross-up for cash collateral posted if deducted from the on-balance sheet assets, except for cash variation margin that meets qualifying criteria (note 3)",,,"1,149"
"Less: Deductions of receivable assets for cash variation margin posted in derivative transactions, if included in on-balance sheet assets",,,"--"
"Less: Exempted CCP leg of client-cleared transactions (note 4)",,,"(20,669)"
"Effective notional principal amount of sold credit protection (note 3)",,,"311,540"
"Less: Effective notional principal amount offsets and PFE adjustments for sold credit protection (note 3)",,,"(293,435)"
Total derivatives exposures,,$,"210,391"
,,,
Repo-style transactions,,,
"On-balance sheet assets for repo-style transactions (note 1)",,$,"515,766"
"Less: Reduction of the gross value of receivables in reverse repurchase transactions by cash payables in repurchase transactions under netting agreements (note 1)",,,"(265,412)"
"Counterparty credit risk for all repo-style transactions (note 3)",,,"16,246"
"Exposure for repo-style transactions where a banking organization acts as an agent",,,"--"
Total repo-style transactions,,$,"266,600"
,,,
Other off-balance sheet exposures,,,
"Off-balance sheet exposures at gross notional amounts (notes 3 5)",,$,"218,521"
"Less: Adjustments for conversion to credit equivalent amounts (note 3)",,,"(110,173)"
Total off-balance sheet exposures,,$,"108,348"
,,,
Supplementary leverage exposure,,$,"1,517,687"
,,,
Tier 1 capital,,,"84,790"
Supplementary leverage ratio (note 6),,,5.6%
Tier 1 leverage ratio (note 7),,,6.9%
,,,
Notes:,,,
"1. Computed as the average daily balance of consolidated total assets during the calendar quarter.",,,
"2. Includes disallowed goodwill, intangible assets, investments in covered funds, defined benefit pension plan assets, after-tax gain on sale from assets sold into securitizations, investments in the Firm's own capital instruments, certain deferred tax assets, and other capital deductions.",,,
"3. Computed as the arithmetic mean of the month-end balances over the calendar quarter.",,,
"4. Where the Firm acts as clearing member with respect to transactions cleared on behalf of clearing member clients, the Firm does not guarantee the performance of the CCP, and therefore the trade exposure to the CCP is excluded from total leverage exposure.",,,
"5. Off-balance sheet exposures primarily include lending commitments, forward starting reverse repurchase agreements, standby letters of credit and other unfunded commitments and guarantees.",,,
"6. The Supplementary leverage ratio equals Tier 1 capital divided by the Supplementary leverage exposure.",,,
"7. The Tier 1 leverage ratio equals Tier 1 capital divided by the average daily balance of consolidated on-balance sheet assets during the calendar quarter.",,,
