Risk-weighted assets by U.S. Basel III exposure category,,,
$ in millions,,At December 31 2024,
Credit risk RWA:,,,
Wholesale exposures,,$,185391
Retail exposures:,,,
"  Residential mortgage",,,"3,778"
"  Revolving",,,"274"
"  Other retail",,,"5,493"
Securitization exposures:,,,
"  Subject to Supervisory Formula Approach",,,"7,927"
"  Subject to Simplified Supervisory Formula Approach",,,"7,831"
"  Subject to 1250% risk weight",,,"75"
Cleared transactions,,,"4,512"
Equity exposures:,,,
"  Subject to the Simple Risk-Weighted Approach",,,"23,853"
"  Subject to the Alternative Modified Look-Through Approach",,,"1,052"
Other assets (note 2),,,"37,567"
Credit valuation adjustment,,,"38,676"
Total credit risk RWA (note 3),,$,"316,429"
Market risk RWA:,,,
Regulatory VaR,,$,"6,484"
Regulatory stressed VaR,,,"11,573"
Incremental risk charge,,,"4,651"
Comprehensive risk measure,,,"1,534"
Specific risk:,,,
"  Non-securitizations",,,"16,604"
"  Securitizations",,,"13,476"
Total market risk RWA (note 4),,$,"54,322"
Total operational risk RWA,,,"106,580"
Total RWA,,$,"477,331"
,,,
Notes:,,,
"1. For information on the Firm's credit risk RWA, market risk RWA and operational risk RWA rollforward from December 31, 2023 to December 31, 2024, see MD&A in the 2024 Form 10-K.",,,
"2. Amount reflects assets not in a defined category of $35,546 million, non-material portfolios of exposures of $1,324 million and unsettled transactions of $697 million.",,,
"3. In accordance with U.S. Basel III, credit risk RWA, with the exception of CVA and certain products under 12 C.F.R. Section 217.124, reflect a 1.06 multiplier.",,,
"4. For more information on the Firm's measure for market risk and market risk RWA, see Section 9 Market Risk herein.",,,
