Advanced Approach EAD and RWA by Methodology,,At December 31 2024,,,,,,,,,,
,,Internal Models Methodology,,,,Collateral Haircut Approach Methodology,,,,Total,,
$ in millions,,EAD,,RWA,,EAD,,RWA,,EAD,,RWA
Derivative and other contracts (note 1),,$,"110,329",$,"44,493",$,--,$,--,$,"110,329",$,"44,493"
Securities financing transactions,,,"42,299",,"11,115",,"3,045",,"4,365",,"45,344",,"15,480"
Other,,,"4,148",,"88",,--,,--,,"4,148",,"88"
Total,,$,"156,776",$,"55,696",$,"3,045",$,"4,365",$,"159,821",$,"60,061"
,,,,,,,,,,,,
"Note 1: Amount includes client exposures related to cleared transactions.",,,,,,,,,,,,
