Credit Derivatives,,At December 31 2024,,,,,,
,,Hedge Portfolio,,,,Intermediation Activities,,
$ in millions,,Purchased,,Sold,,Purchased,,Sold
Credit derivative type,,,,,,,,,
Credit default swaps,,$,"40,370",$,"12,267",$,"237,253",$,"240,516"
Total return swaps,,,"1,465",,"1,254",,"21,455",,"13,255"
Credit options,,,"--",,"--",,"98,065",,"110,438"
Total,,$,"41,835",$,"13,521",$,"356,773",$,"364,209"
