Aggregate EAD of Securitization Positions by Exposure Type,,At December 31 2024,,,,
$ in millions,,On-balance sheet,,Off-balance sheet,,Total
Exposure type,,,,,,,
Commercial mortgages,,$,"17,426",$,"1,329",$,"18,755"
Residential mortgages,,,"1,141",,"247",,"1,388"
Corporate debt,,,"18,989",,"16,085",,"35,074"
"Asset-backed and other (note 1)",,,"2,940",,"4,842",,"7,782"
Total,,$,"40,496",$,"22,503",$,"62,999"
,,,,,,,
"Note 1: Amounts primarily reflect student loans, auto receivables, municipal bond liquidity facilities and consumer loan receivables.",,,,,,,
