99% Regulatory Stressed VaR,,,,,,,,
Quarter Ended December 31 2024,,,,,,,,
,One-Day Holding Period,,10-Day Holding Period,,,,
$ in millions,Weekly Average (note 1),,Period End,,Weekly Average (note 1),,High,,Low
Total Regulatory stressed VaR,$,97,$,390,$,307,$,390,$,214
,,,,,,,,
Note:,,,,,,,,
"1. The weekly average shown is calculated over the entire quarter. Per regulatory requirements, the weekly average of the previous 12 weeks from the period-end date is utilized in the regulatory capital calculation.",,,,,,,,
