Re-securitization Exposures with and without Credit Risk Mitigation,,,
$ in millions,,At December 31 2024,
Re-securitization exposures:,,,
"Re-securitization exposure to which credit risk mitigation is applied",,$,--
"Re-securitization exposure to which credit risk mitigation is not applied",,,"1,882"
"Total re-securitization exposures retained or purchased",,$,"1,882"
"Total re-securitization exposure to guarantors",,$,--
"Total re-securitization exposure not to guarantors",,,"1,882"
"Total re-securitization exposures retained or purchased",,$,"1,882"
