Outstanding Exposures Intended to be Securitized,,,
$ in millions,,At December 31 2024,
Exposure type,,,
Commercial mortgages,,$,"500"
Residential mortgages,,,"1,922"
Corporate debt,,,"142"
Asset-backed and other,,,"580"
Total,,$,"3,144"
