Outstanding Exposures Securitized by the Firm (Retained in Banking Book),,At December 31 2024,,,,
,,Traditional,,,,
$ in millions,,Amounts Sold by the Firm,,Amounts Sold by Third Parties in Transactions Sponsored by the Firm,,Synthetic
Exposure type,,,,,,,
Commercial mortgages,,$,--,$,--,$,--
Residential mortgages,,,"176",,--,,--
Corporate debt,,,"--",,--,,"8,499"
Asset-backed and other,,,"--",,--,,--
Total,,$,"176",$,--,$,"8,499"
