Net Market Value of Securitization Positions in the Trading Book,,At December 31 2024,
$ in millions,,Net Market Value (note 1),
Exposures,,,
Commercial mortgages,,$,"1,069"
Residential mortgages,,,"763"
"Corporate debt (note 2)",,,"626"
Asset-backed securitizations and other,,,"295"
Total,,$,"2,753"
,,,
"Note 1: Net Market Value represents the fair value for cash instruments and the replacement value for derivative instruments.",,,
"Note 2: Amount includes correlation trading positions that are not eligible for Comprehensive Risk Measure (CRM) surcharge.",,,
